Altium Designer Pick and Place Locations
D:\Documents\Circuit layouts, schematics and misc technical\Altium\Mini_CS\Project Outputs for Mini_CS\Pick Place for Mini_CS.txt

========================================================================================================================
File Design Information:

Date:       15/03/18
Time:       11:52
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Value Comment         Layer       Footprint          Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                      
C1         150pF 150pF           TopLayer    1608[0603]         236.220       594.488       180      "Capacitor (Semiconductor SIM Model)"                                                                                                                            
C2         1.5nF 1.5nF           TopLayer    1608[0603]         649.606       744.094       360      "Capacitor (Semiconductor SIM Model)"                                                                                                                            
C3         1.5nF 1.5nF           TopLayer    1608[0603]         224.409       822.834       180      "Capacitor (Semiconductor SIM Model)"                                                                                                                            
C4         0.1uF 0.1uF           TopLayer    1608[0603]         125.984       374.016       270      "Capacitor (Semiconductor SIM Model)"                                                                                                                            
C5         10nF  10nF            BottomLayer 1608[0603]         228.346       287.402       180      "Capacitor (Semiconductor SIM Model)"                                                                                                                            
C6         0.1uF 0.1uF           BottomLayer 1608[0603]         228.346       342.520       180      "Capacitor (Semiconductor SIM Model)"                                                                                                                            
C7         10uF  10uF            BottomLayer 1608[0603]         228.346       405.512       180      "Capacitor (Semiconductor SIM Model)"                                                                                                                            
C8         0.1uF 0.1uF           TopLayer    1608[0603]         500.000       889.764       360      "Capacitor (Semiconductor SIM Model)"                                                                                                                            
C9         0.1uF 0.1uF           TopLayer    1608[0603]         354.331       614.173       180      "Capacitor (Semiconductor SIM Model)"                                                                                                                            
C10        0.1uF 0.1uF           BottomLayer 1608[0603]         295.276       984.252       180      "Capacitor (Semiconductor SIM Model)"                                                                                                                            
C11        0.1uF 0.1uF           BottomLayer 1608[0603]         480.315       661.417       90       "Capacitor (Semiconductor SIM Model)"                                                                                                                            
C12        10uF  10uF            BottomLayer 1608[0603]         685.039       653.543       180      "Capacitor (Semiconductor SIM Model)"                                                                                                                            
C13        10uF  10uF            BottomLayer 1608[0603]         700.787       224.409       360      "Capacitor (Semiconductor SIM Model)"                                                                                                                            
C14        0.1uF 0.1uF           TopLayer    1608[0603]         492.126       240.158       360      "Capacitor (Semiconductor SIM Model)"                                                                                                                            
CLK        ""    TESTPOINT_WHITE TopLayer    TestPointVia       370.079       464.567       180      ""                                                                                                                                                               
DDS        ""    TESTPOINT_WHITE TopLayer    TestPointVia       460.630       562.992       180      ""                                                                                                                                                               
